timestamp,datetime,pwm_right,vel_right
1757616572.0442445,2025-09-11 15:49:32.044,195,0.21
1757616572.0757027,2025-09-11 15:49:32.075,195,0.21
1757616572.0971282,2025-09-11 15:49:32.097,195,0.21
1757616572.1287374,2025-09-11 15:49:32.128,195,0.21
1757616572.160459,2025-09-11 15:49:32.160,195,0.21
1757616572.1923008,2025-09-11 15:49:32.192,195,0.21
1757616572.2137551,2025-09-11 15:49:32.213,195,0.21
1757616572.2453716,2025-09-11 15:49:32.245,195,0.21
1757616572.2770388,2025-09-11 15:49:32.277,195,0.19
1757616572.3086574,2025-09-11 15:49:32.308,195,0.19
1757616572.3401175,2025-09-11 15:49:32.340,195,0.19
1757616572.3615582,2025-09-11 15:49:32.361,195,0.19
1757616572.3931925,2025-09-11 15:49:32.393,195,0.2
1757616572.4247155,2025-09-11 15:49:32.424,195,0.2
1757616572.4564488,2025-09-11 15:49:32.456,195,0.2
1757616572.4778848,2025-09-11 15:49:32.477,195,0.2
1757616572.5094845,2025-09-11 15:49:32.509,195,0.2
1757616572.541033,2025-09-11 15:49:32.541,195,0.2
1757616572.572703,2025-09-11 15:49:32.572,195,0.2
1757616572.6043818,2025-09-11 15:49:32.604,195,0.2
1757616572.6258318,2025-09-11 15:49:32.625,195,0.2
1757616572.657306,2025-09-11 15:49:32.657,195,0.2
1757616572.688659,2025-09-11 15:49:32.688,195,0.2
1757616572.7199693,2025-09-11 15:49:32.719,195,0.2
1757616572.7514184,2025-09-11 15:49:32.751,195,0.21
1757616572.7726696,2025-09-11 15:49:32.772,195,0.21
1757616572.8042374,2025-09-11 15:49:32.804,195,0.21
1757616572.8357055,2025-09-11 15:49:32.835,195,0.21
1757616572.867293,2025-09-11 15:49:32.867,195,0.19
1757616572.888733,2025-09-11 15:49:32.888,195,0.19
1757616572.920392,2025-09-11 15:49:32.920,195,0.19
1757616572.9521134,2025-09-11 15:49:32.952,195,0.19
1757616572.9837394,2025-09-11 15:49:32.983,195,0.2
1757616573.0154924,2025-09-11 15:49:33.015,195,0.2
1757616573.036957,2025-09-11 15:49:33.036,200,0.2
1757616573.0684104,2025-09-11 15:49:33.068,200,0.2
